"V1","V2","V3","V4","V5","V6","V7"
"1400","0","0","0","10007790, 10013169","10007790, 10013169","10007790, 10013169"
"1401","0","0","3.55015943727111e-05","10004347, 10007790, 10008543, 10013169","10004347, 10007790, 10008543, 10013169","10004347, 10008543"
"1402","0","0","0.000131880620513947","10004347, 10007790, 10008543, 10013169","10004347, 10007790, 10008543, 10013169","10008543"
"1403","2.22044604925031e-16","0","0.000840682821499961","10004347, 10007790, 10008180, 10010880, 10008543, 10013169, 10008181, 10011569","10004347, 10007790, 10008180, 10010880, 10008543, 10013169, 10008181, 10011569","10004347"
"1404","2.22044604925031e-16","0","0.18356545191951","10004347, 10007790, 10008180, 10010880, 10008543, 10013169, 10008181, 10011569","10004347, 10007790, 10008180, 10010880, 10008543, 10013169, 10008181, 10011569","10008180"
"1405","0.112155388471178","8","6.5857864376269","10008543","10008543","10008543"
"1406","0.112155388471178","8","6.5857864376269","10008543","10008543","10008543"
"1407","0.112155388471178","8","6.5857864376269","10008543","10008543","10008543"
"1408","0.168216821682168","33","9.26794919243112","10008543","10008543","10008543"
"1409","0.168216821682168","33","9.26794919243112","10008543","10008543","10008543"
"1410","0.168216821682168","33","9.26794919243112","10008543","10008543","10008543"
"1411","0.198786446141968","157","15.6229110692161","10008543","10008543","10008543"
"1412","0.180790494645276","175","17.6229110692161","10008543","10008543","10008543"
"1413","0.304819037488649","477","18.0247699146351","10008543","10008543","10008543"
"1414","0.240676622359665","541","21.0247699146351","10008543","10008543","10008543"
"1415","0.225614163973618","589","23.0247699146351","10008543","10008543","10008543"
"1416","0.201811535755271","941","27.9669134316498","10008543","10008543","10008543"
"1417","0.223903996484664","1517","33.8525738506954","10008543","10008543","10008543"
"1418","0.204796820795607","1646","36.8525738506954","10008543","10008543","10008543"
"1419","0.172356370785152","1806","40.136603540448","10008543","10008543","10004985"
"1420","0.172356370785152","1806","40.136603540448","10008543","10008543","10004985"
"1421","0.163571851953331","1937","43.136603540448","10008543","10008543","10004985"
"1422","0.153745832825434","2018","45.136603540448","10008543","10008543","10004985"
"1423","0.207728984078235","3832","51.136603540448","10008543, 10010568","10008543","10004985"
"1424","0.219240968369151","5705","61.136603540448","10004334","10008543","10004985"
"1425","0.237383352458978","7474","64.1366035404478","10004334","10008543","10004985"
"1426","0.277395411363276","12716","66.4651351401737","10010300, 10010568","10008543","10012705"
"1427","0.286378262845224","15121","70.8112015870204","10010568","10008543","10010300"
"1428","0.285943208926799","15187","73.1534297774091","10010568","10008543","10012705"
"1429","0.309528644831443","19474","81.2813513967294","10010568","10008543","10012705"
"1430","0.356638934939502","41197.8","95.859578756491","10008543","10008543","10008543"
"1431","0.333068840427263","45960.7666666667","104.738203110645","10008543","10008543","10008543"
"1432","0.324173791479911","46787.8333333333","106.738203110645","10008543","10008543","10008543"
"1433","0.443009208111493","74976","110.094350760181","10008543","10008543","10008543"
"1434","0.430634045566519","85828.7","116.070388105293","10008543","10008543","10008543"
"1435","0.413117279856681","104649.00952381","127.922704574352","10008543","10008543","10008543"
"1436","0.431707367076097","120005.314285714","132.535094829951","10008543","10011473","10008543"
"1437","0.443281459444612","127510.05","135.507912046014","10008543","10011473","10008543"
"1438","0.51636734510353","203695.285714286","146.154748433584","10011473","10011473","10008543"
"1439","0.506087863747012","215387.928571428","151.749748348476","10011473","10011473","10008543"
"1440","0.519434911030475","221253.807142857","159.897168951724","10011473","10011473","10008543"
"1441","0.509240428583738","236519.623809524","166.646943863571","10011473","10011473","10008543"
"1442","0.496483030645356","293969.921428571","179.628925494062","10011473","10011473","10008543"
"1443","0.758751398085236","1198360.41721563","186.529569466241","10000844","10000844","10000844"
