"SDFB Person ID","ODNB ID","Display Name","Prefix","First Name","Last Name","Suffix","Title","All Search Names","Gender","Historical Significance","Birth Year Type","Extant Birth Year","Alternate Birth Year","Death Year Type","Extant Death Year","Alternate Death Year","Group List","level","military","art","law","politics"
"10005815",13002,"James Hepburn",NA,"James","Hepburn","",NA,"James Hepburn, James, James Hepburn","male","orientalist","IN","1573","1573","AF/IN","1623","1623","[]","No Title",0,0,0,0
"10007183",16127,"John Laurence",NA,"John","Laurence","",NA,"John Laurence, John, John Laurence","male","writer on gardening","IN","1668","1668","IN","1732","1732","[]","No Title",0,1,0,0
"10005953",13283,"Joseph Hill",NA,"Joseph","Hill","","church","Joseph Hill, Joseph, Joseph Hill","male","nonconformist minister","IN","1625","1625","IN","1707","1707","[]","Religion",0,0,0,0
"10011043",25406,"Andrew Shilling",NA,"Andrew","Shilling","",NA,"Andrew Shilling, Andrew, Andrew Shilling","male","naval officer in the East India Company","AF","1511",NA,"IN","1621","1621","[]","No Title",1,0,0,0
"10004471",9910,"Sir John Forster","Sir","John","Forster","","Sir","John Forster, Sir John, Sir John Forster, Sir Forster, John, John Forster","male","administrator and soldier","IN","1515","1515","IN","1602","1602","[]","Significant",1,0,0,1
"10010838",24975,"John Scudamore",NA,"John","Scudamore","",NA,"John Scudamore, John, John Scudamore","male","diplomat and politician","IN","1601","1601","IN","1671","1671","[]","No Title",0,0,0,1
"10006834",15369,"Gilbert Kennedy",NA,"Gilbert","Kennedy","",NA,"Gilbert Kennedy, Gilbert, Gilbert Kennedy","male","nobleman","IN","1541","1541","IN","1576","1576","[]","Noble",0,0,0,0
"10010293",23623,"Thomas Ridgeway",NA,"Thomas","Ridgeway","",NA,"Thomas Ridgeway, Thomas, Thomas Ridgeway","male","administrator and politician","IN","1565","1565","IN","1632","1632","[]","No Title",0,0,0,1
"10007984",49668,"Thomas Marow",NA,"Thomas","Marow","",NA,"Thomas Marow, Thomas, Thomas Marow","male","lawyer","IN","1460","1465","IN","1505","1505","[]","No Title",0,0,1,0
"10008175",18522,"Brian Melbancke",NA,"Brian","Melbancke","",NA,"Brian Melbancke, Brian, Brian Melbancke","male","writer","AF","1490",NA,"IN","1600","1600","[]","No Title",0,1,0,0
"10005954",13284,"Joseph Hill",NA,"Joseph","Hill","","church","Joseph Hill, Joseph, Joseph Hill","male","Presbyterian minister","IN","1667","1667","IN","1729","1729","[]","Religion",0,0,0,0
"10013018",29775,"William Wintersel",NA,"William","Wintersel","",NA,"William Wintersel, William Wintershull, William, William Wintersel","male","actor","AF","1569",NA,"IN","1679","1679","[]","No Title",0,1,0,0
"10002264",5069,"David Chalmers of Ormond",NA,"David","Chalmers","of Ormond",NA,"David Chalmers of Ormond, David Chambers of Ormond, David, David Chalmers, David Chalmers of Ormond, David of Ormond","male","historian and judge","IN","1533","1533","IN","1592","1592","[]","No Title",0,0,1,0
"10003536",66390,"Nicholas Dixon",NA,"Nicholas","Dixon","",NA,"Nicholas Dixon, Nicholas, Nicholas Dixon","male","miniature painter","CA","1645","1645","IN","1708","1720","[]","No Title",0,1,0,0
"10006282",13947,"Lord William Howard","Lord","William","Howard","","Lord","William Howard, Lord William, Lord William Howard, Lord Howard, William, William Howard","male","antiquary and landowner","IN","1563","1563","IN","1640","1640","[]","Noble",0,0,0,0
"10006721",0,"Jacob Jordaens",NA,"Jacob","Jordaens","",NA,"Jacob Jordaens, Jacob, Jacob Jordaens","male",NA,"IN","1593",NA,"IN","1678",NA,"[]","No Title",0,0,0,0
"10004637",69083,"Mary Gadbury",NA,"Mary","Gadbury","",NA,"Mary Gadbury, Mary, Mary Gadbury","female","","CA","1619","1619","BF","1729",NA,"[]","No Title",0,0,0,0
"10000491",1027,"Thomas Bagard",NA,"Thomas","Bagard","",NA,"Thomas Bagard, Thomas, Thomas Bagard","male","civil lawyer and divine","AF","1434",NA,"IN","1544","1544","[]","No Title",0,0,1,0
"10012589",28843,"John Watson",NA,"John","Watson","",NA,"John Watson, John, John Watson","male","college head","AF","1427",NA,"IN","1537","1537","[]","No Title",0,0,0,0
"10007404",16620,"James Ley",NA,"James","Ley","",NA,"James Ley, James, James Ley","male","naval officer","IN","1618","1619","IN","1665","1665","[]","No Title",1,0,0,0
"10007589",58144,"Sir Walter Long","Sir","Walter","Long","","Sir","Walter Long, Sir Walter, Sir Walter Long, Sir Long, Walter, Walter Long","male","politician","IN","1591","1591","IN","1672","1672","[]","Significant",0,0,0,1
"10006692",68197,"John Jones",NA,"John","Jones","",NA,"John Jones, John, John Jones","male","copyist and manuscript collector","BF","1585","1585","BF/IN","1658","1658","[]","No Title",0,0,0,0
"10006740",15154,"George Joyliffe",NA,"George","Joyliffe","",NA,"George Joyliffe, George, George Joyliffe","male","anatomist and physician","IN","1621","1621","IN","1658","1658","[]","No Title",0,0,0,0
"10011556",26480,"James Stewart",NA,"James","Stewart","",NA,"James Stewart, James, James Stewart","male","magnate and murder victim","IN","1565","1566","IN","1592","1592","[]","No Title",0,0,0,0
"10007758",69917,"Alexander MacDonald of Dunyvaig and the Glens",NA,"Alexander","MacDonald","of Dunyvaig and the Glens","Nobel","Alexander MacDonald of Dunyvaig and the Glens, Alexander, Alexander MacDonald, Alexander MacDonald of Dunyvaig and the Glens, Alexander of Dunyvaig and the Glens","male","clan chief","AF","1426",NA,"IN","1536","1539","[]","No Title",0,0,0,0
"10011605",53119,"William Stonestreet",NA,"William","Stonestreet","",NA,"William Stonestreet, William, William Stonestreet","male","antiquary","IN","1659","1659","IN","1716","1716","[]","No Title",0,0,0,0
"10011416",24508,"Christopher St Lawrence",NA,"Christopher","St Lawrence","",NA,"Christopher St Lawrence, Christopher, Christopher St Lawrence","male","soldier and informer","AF","1509",NA,"IN","1619","1619","[]","No Title",1,0,0,0
"10010074",23030,"William Rainolds",NA,"William","Rainolds","","church","William Rainolds, William Reynolds, William, William Rainolds","male","Roman Catholic priest and author","CA","1544","1544","IN","1594","1594","[]","Religion",0,1,0,0
"10003152",93684,"Thomas Cure",NA,"Thomas","Cure","",NA,"Thomas Cure, Thomas, Thomas Cure","male","saddler","AF","1478",NA,"IN","1588","1588","[]","No Title",0,0,0,0
"10006508",68331,"Gilbert Jackson",NA,"Gilbert","Jackson","",NA,"Gilbert Jackson, Gilbert, Gilbert Jackson","male","portrait painter","IN","1621","1621","IN","1643","1643","[]","No Title",0,1,0,0
"10009329",21342,"Sir Thomas Parker","Sir","Thomas","Parker","","Sir","Thomas Parker, Sir Thomas, Sir Thomas Parker, Sir Parker, Thomas, Thomas Parker","male","judge","IN","1695","1695","IN","1784","1784","[]","Significant",0,0,1,0
"10000659",68873,"John Barlow",NA,"John","Barlow","",NA,"John Barlow, John, John Barlow","male","","IN","1517","1517","IN","1552","1552","[]","No Title",0,0,0,0
"10008677",19712,"Daniel Mytens",NA,"Daniel","Mytens","",NA,"Daniel Mytens, Daniel Mijtens, Daniel, Daniel Mytens","male","painter","IN","1590","1590","IN","1647","1647","[]","No Title",0,1,0,0
"10012689",29053,"Thomas Wentworth",NA,"Thomas","Wentworth","",NA,"Thomas Wentworth, Thomas, Thomas Wentworth","male","nobleman","IN","1501","1501","IN","1551","1551","[]","Noble",0,0,0,0
"10007732",17374,"Uilliam Mac Cairteain",NA,"Uilliam","Mac Cairteain","",NA,"Uilliam Mac Cairteain, Uilliam, Uilliam Mac Cairteain","male","poet and scribe","IN","1667","1668","IN","1724","1724","[]","No Title",0,1,0,0
"10010068",70911,"Robert Raikes",NA,"Robert","Raikes","",NA,"Robert Raikes, Robert, Robert Raikes","male","printer and newspaper proprietor","IN","1690","1690","IN","1757","1757","[]","No Title",0,0,0,0
"10008412",19060,"Hugh Montgomery",NA,"Hugh","Montgomery","",NA,"Hugh Montgomery, Hugh Montgomerie, Hugh, Hugh Montgomery","male","army officer","IN","1613","1613","IN","1669","1669","[]","No Title",1,0,0,0
"10011495",26318,"Thomas Starkey",NA,"Thomas","Starkey","",NA,"Thomas Starkey, Thomas, Thomas Starkey","male","humanist and royal servant","IN","1498","1498","IN","1538","1538","[]","No Title",0,0,0,0
"10009026",0,"Rory O'Donnell Earl of Tyrconnell",NA,"Rory","O'Donnell","","Earl of Tyrconnell","Rory O'Donnell, Rury O'Donnell, Ruaidhri O Domhnaill, Rory, Rory O'Donnell, Rory O'Donnell Earl of Tyrconnell","male","magnate and soldier","IN","1574","1575","IN","1608",NA,"[]","Noble",1,0,0,0
"10002634",5834,"John Colbatch",NA,"John","Colbatch","","church","John Colbatch, John, John Colbatch","male","Church of England clergyman and university teacher","IN","1665","1665","IN","1748","1748","[]","Religion",0,0,0,0
"10008411",19059,"Hugh Montgomery",NA,"Hugh","Montgomery","",NA,"Hugh Montgomery, Hugh Montgomerie, Hugh, Hugh Montgomery","male","nobleman","CA","1531","1531","IN","1585","1585","[]","Noble",0,0,0,0
"10011414",24504,"Oliver St John",NA,"Oliver","St John","",NA,"Oliver St John, Oliver, Oliver St John","male","lawyer and politician","IN","1598","1598","IN","1673","1673","[""""Providence Island Company""""]","No Title",0,0,1,1
"10007739",17686,"Hugh Oge Mac Mahon",NA,"Hugh Oge","Mac Mahon","",NA,"Hugh Oge Mac Mahon, Hugh Oge MacMahon, Hugh Oge, Hugh Oge Mac Mahon","male","conspirator","IN","1606","1607","IN","1644","1644","[]","No Title",0,0,0,0
"10011498",26331,"Sir John Stawell","Sir","John","Stawell","","Sir","John Stawell, Sir John, Sir John Stawell, Sir Stawell, John, John Stawell","male","royalist army officer","IN","1599","1600","IN","1662","1662","[]","Significant",1,0,0,0
"10003079",37326,"Sir Robert Crosse","Sir","Robert","Crosse","","Sir","Robert Crosse, Sir Robert, Sir Robert Crosse, Sir Crosse, Robert, Robert Crosse","male","naval commander","IN","1547","1547","IN","1611","1611","[]","Significant",1,0,0,0
"10007546",16901,"Sir George Lockhart of Carnwath","Sir","George","Lockhart","of Carnwath","Sir","George Lockhart of Carnwath, Sir George, Sir George Lockhart, Sir George Lockhart of Carnwath, Sir George of Carnwath, Sir Lockhart, Sir Lockhart of Carnwath, George, George Lockhart, George Lockhart of Carnwath, George of Carnwath","male","advocate and judge","IN","1630","1630","IN","1689","1689","[]","Significant",0,0,1,0
"10011485",26297,"Edward Staples",NA,"Edward","Staples","","church","Edward Staples, Edward, Edward Staples","male","bishop of Meath","CA","1490","1490","AF","1558","1558","[]","Religion",0,0,0,0
"10005493",12201,"John Hanmer",NA,"John","Hanmer","","church","John Hanmer, John, John Hanmer","male","Presbyterian minister","IN","1642","1642","IN","1707","1707","[]","Religion",0,0,0,0
"10001411",66564,"Dorothy Boyle",NA,"Dorothy","Boyle","",NA,"Dorothy Boyle, Dorothy Savile, Dorothy, Dorothy Boyle","female","portrait painter and caricaturist","IN","1699","1699","IN","1758","1758","[]","No Title",0,1,0,0
"10001514",70865,"William Brereton",NA,"William","Brereton","",NA,"William Brereton, William, William Brereton","male","courtier and administrator","CA","1487","1490","IN","1536","1536","[]","Significant",0,0,0,1
